eco	name	fen	moves	whiteWins	blackWins	draws
D00	Amazon Attack	rnbqkbnr/ppp1pppp/8/3p4/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq -	d2d4 d7d5 d1d3	9	13	0
D00	Blackmar-Diemer Gambit: Bogoljubov Defense, Mad Dog Attack	rnbqk2r/ppp1ppbp/5np1/8/2BP3P/2N2N2/PPP3P1/R1BQK2R b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 h2h4	19	3	0
D00	Blackmar-Diemer Gambit: Bogoljubov Variation, Kloss Attack	rnbq1rk1/ppp1ppbp/5np1/8/2BP4/2N2N2/PPP3PP/R1BQ1R1K b - -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 e1g1 e8g8 g1h1	8	1	1
D00	Blackmar-Diemer Gambit: Bogoljubov Variation, Nimzowitsch Attack	rnbqk2r/ppp1ppbp/5np1/4N3/2BP4/2N5/PPP3PP/R1BQK2R b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 f3e5	39	10	6
D00	Blackmar-Diemer Gambit: Bogoljubov Variation	rnbqkb1r/ppp1pp1p/5np1/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4f3 g1f3 g7g6	63	45	17
D00	Blackmar-Diemer Gambit: Bogoljubov Variation, Studier Attack	rnbq1rk1/ppp1ppbp/5np1/8/2BP4/2N2N2/PPP3PP/R1B1QRK1 b - -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 e1g1 e8g8 d1e1	35	25	10
D00	Blackmar-Diemer Gambit Declined, Brombacher Countergambit	rnbqkb1r/pp2pppp/5n2/2p5/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 c7c5	7	3	1
D00	Blackmar-Diemer Gambit Declined, Elbert Countergambit	rnbqkb1r/ppp2ppp/5n2/4p3/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e7e5	7	1	2
D00	Blackmar-Diemer Gambit Declined, Grosshans Defense	rn1qkbnr/pppbpppp/8/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 c8d7	0	2	1
D00	Blackmar-Diemer Gambit Declined, Lamb Defense	r1bqkb1r/ppp1pppp/2n2n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 b8c6	15	0	0
D00	Blackmar-Diemer Gambit Declined, Langeheinecke Defense	rnbqkb1r/ppp1pppp/5n2/8/3P4/2N1pP2/PPP3PP/R1BQKBNR w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4e3	33	24	14
D00	Blackmar-Diemer Gambit: Diemer-Rosenberg Attack	rnbqkbnr/ppp1pppp/8/8/3Pp3/4B3/PPP2PPP/RN1QKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 c1e3	2	1	2
D00	Blackmar-Diemer Gambit: Euwe Defense	rnbqkb1r/ppp2ppp/4pn2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 e4f3 g1f3 e7e6	55	27	13
D00	Blackmar-Diemer Gambit: Euwe Defense, Zilbermints Gambit	r1bqk2r/ppp1bppp/4pn2/6B1/3n4/2NB1N2/PPP3PP/R2Q1R1K b kq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 e7e6 c1g5 f8e7 f1d3 b8c6 e1g1 c6d4 g1h1	0	0	0
D00	Blackmar-Diemer Gambit: Fritz Attack	rnbqkbnr/ppp1pppp/8/8/2BPp3/8/PPP2PPP/RNBQK1NR b KQkq -	d2d4 d7d5 e2e4 d5e4 f1c4	20	16	6
D00	Blackmar-Diemer Gambit: Gedult Gambit	rnbqkbnr/ppp1pppp/8/8/3Pp3/5P2/PPP3PP/RNBQKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 f2f3	35	19	5
D00	Blackmar-Diemer Gambit: Kaulich Defense	rnbqkb1r/pp2pppp/5n2/2p5/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c7c5	20	0	0
