eco	name	fen	moves	whiteWins	blackWins	draws
B00	Barnes Defense	rnbqkbnr/ppppp1pp/5p2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	e2e4 f7f6	16	6	3
B00	Borg Defense: Borg Gambit	rnbqk1nr/ppppppbp/8/6p1/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 g7g5 d2d4 f8g7	19	14	5
B00	Borg Defense: Langhorst Gambit	rnbqkbnr/p2p1p1p/1p2p3/2P3p1/4P3/2P5/PP3PPP/RNBQKBNR w KQkq -	e2e4 g7g5 d2d4 e7e6 c2c3 c7c5 d4c5 b7b6	0	0	0
B00	Borg Defense	rnbqkbnr/pppppp1p/8/6p1/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	e2e4 g7g5	90	56	25
B00	Borg Defense: Troon Gambit	rnbqkbnr/pppppp2/7p/8/3PP1pP/8/PPP2PP1/RNBQKBNR w KQkq -	e2e4 g7g5 d2d4 h7h6 h2h4 g5g4	5	2	1
B00	Borg Opening: Zilbermints Gambit	rnbqkbnr/pppp1p1p/8/4p1p1/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 g7g5 d2d4 e7e5	1	0	0
B00	Carr Defense	rnbqkbnr/ppppppp1/7p/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	e2e4 h7h6	22	18	7
B00	Carr Defense: Zilbermints Gambit	rnbqkbnr/pppp1pp1/7p/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 h7h6 d2d4 e7e5	0	0	0
B00	Duras Gambit	rnbqkbnr/ppppp1pp/8/5p2/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	e2e4 f7f5	26	15	6
B00	Fried Fox Defense	rnbq1bnr/pppppkpp/5p2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQ -	e2e4 f7f6 d2d4 e8f7	1	1	1
B00	Goldsmith Defense: Picklepuss Defense	rnbqkb1r/ppppppp1/5n2/7p/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 h7h5 d2d4 g8f6	1	0	0
B00	Goldsmith Defense	rnbqkbnr/ppppppp1/8/7p/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	e2e4 h7h5	11	7	0
B00	Guatemala Defense	rn1qkbnr/p1pppppp/bp6/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 b7b6 d2d4 c8a6	4	1	1
B00	Hippopotamus Defense	rnbqkb1r/ppppp2p/5ppn/8/2PPP3/8/PP3PPP/RNBQKBNR w KQkq -	e2e4 g8h6 d2d4 g7g6 c2c4 f7f6	0	0	0
B00	Hippopotamus Defense	rnbqkb1r/pppppppp/7n/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	e2e4 g8h6	18	13	7
B00	King's Pawn Game: Nimzowitsch Defense	r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -	e2e4 b8c6 d2d4	1955	1834	1054
B00	King's Pawn Game: Nimzowitsch Defense: Wheeler Gambit	r1bqkbnr/pppppppp/2n5/8/3PP3/2P5/P4PPP/RNBQKBNR b KQkq -	e2e4 b8c6 b2b4 c6b4 c2c3 b4c6 d2d4	0	0	0
B00	King's Pawn	rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq -	e2e4	752799	619734	580586
B00	Lemming Defense	r1bqkbnr/pppppppp/n7/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	e2e4 b8a6	10	12	2
B00	Lion Defense: Lion's Jaw	rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5P2/PPP3PP/RNBQKBNR b KQkq -	e2e4 d7d6 d2d4 g8f6 f2f3	882	505	518
B00	Nimzowitsch Defense: Breyer Variation	r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -	e2e4 b8c6 b1c3 g8f6 d2d4 e7e5	14	12	6
B00	Nimzowitsch Defense, Declined Variation	r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -	e2e4 b8c6 g1f3	2961	2142	1817
B00	Nimzowitsch Defense: El Columpio Defense, El Columpio Gambit	r1bqkb1r/ppp1pppp/2npP2n/8/3P4/5N1P/PPP2PP1/RNBQKB1R b KQkq -	e2e4 b8c6 g1f3 g8f6 e4e5 f6g4 d2d4 d7d6 h2h3 g4h6 e5e6	4	2	0
B00	Nimzowitsch Defense: El Columpio Defense, Exchange Variation	r1bqkb1r/ppp1pppp/2nP3n/8/3P4/5N1P/PPP2PP1/RNBQKB1R b KQkq -	e2e4 b8c6 g1f3 g8f6 e4e5 f6g4 d2d4 d7d6 h2h3 g4h6 e5d6	20	6	3
B00	Nimzowitsch Defense: El Columpio Defense, Pin Variation	r1bqkb1r/ppp1pppp/2np3n/1B2P3/3P4/5N1P/PPP2PP1/RNBQK2R b KQkq -	e2e4 b8c6 g1f3 g8f6 e4e5 f6g4 d2d4 d7d6 h2h3 g4h6 f1b5	21	9	8
B00	Nimzowitsch Defense: El Columpio Defense	r1bqkb1r/pppppppp/2n5/4P3/6n1/5N2/PPPP1PPP/RNBQKB1R w KQkq -	e2e4 b8c6 g1f3 g8f6 e4e5 f6g4	100	37	22
B00	Nimzowitsch Defense: Franco-Hiva Gambit	r1bqkb1r/pppp2pp/2n1pn2/5P2/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -	e2e4 b8c6 d2d4 e7e6 b1c3 f7f5 e4f5 g8f6	0	0	0
B00	Nimzowitsch Defense: Franco-Hiva Gambit	r1bqkb1r/pppp2pp/2n1pn2/5P2/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -	e2e4 b8c6 d2d4 e7e6 g1f3 f7f5 e4f5 g8f6	0	0	0
B00	Nimzowitsch Defense: Franco-Nimzowitsch Variation	r1bqkbnr/pppp1ppp/2n1p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	e2e4 b8c6 g1f3 e7e6	201	114	80
B00	Nimzowitsch Defense: French Connection	r1bqkbnr/pppp1ppp/2n1p3/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq -	e2e4 b8c6 b1c3 e7e6	142	135	102
B00	Nimzowitsch Defense: Hornung Gambit	r1bqkbnr/ppp1pppp/2n5/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq -	e2e4 b8c6 d2d4 d7d5 c1e3	0	2	0
B00	Nimzowitsch Defense: Kennedy Variation, Bielefelder Gambit	r1bqk1nr/pppp1ppp/2n5/2b1P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 b8c6 d2d4 e7e5 d4e5 f8c5	1	0	0
B00	Nimzowitsch Defense: Kennedy Variation, de Smet Gambit	r1bqkbnr/ppp2ppp/2np4/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 b8c6 d2d4 e7e5 d4e5 d7d6	1	0	0
B00	Nimzowitsch Defense: Kennedy Variation, Hammer Gambit	r1bqkbnr/pppp2pp/2n2p2/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 b8c6 d2d4 e7e5 d4e5 f7f6	1	0	0
B00	Nimzowitsch Defense: Kennedy Variation, Herford Gambit	r1b1kbnr/pppp1ppp/2n5/4P3/4P2q/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 b8c6 d2d4 e7e5 d4e5 d8h4	2	1	0
